1549.9	47916	Yes
2654.3	21930	Yes
 698.6	31755	Yes
1707.0	21739	Yes
1504.3	13965	Yes
2033.2	44998	Yes
1894.2	28322	Yes
1511.6	53507	Yes
1805.6	40120	Yes
2008.5	35145	Yes
1359.2	25548	Yes
1707.9	10592	Yes
1672.0	50327	Yes
1899.5	46076	Yes
1803.2	36193	Yes
1558.5	41648	Yes
2054.5	37367	Yes
1476.5	42984	Yes
1881.0	16580	Yes
1655.8	25640	Yes
1502.2	18603	Yes
1598.0	39163	Yes
2415.3	17430	Yes
1335.6	37595	Yes
2128.8	42097	Yes
1719.3	15752	Yes
1402.2	15964	Yes
1731.7	56229	Yes
1233.4	12586	Yes
2207.6	19781	Yes
1867.3	24720	Yes
1975.7	38222	Yes
1903.7	41174	Yes
1666.0	30070	Yes
1895.3	16395	Yes
1858.9	35525	Yes
2066.7	10471	Yes
2024.1	51509	Yes
1893.7	21526	Yes
1278.4	36676	Yes
2005.6	36636	Yes
1465.2	58700	Yes
1647.3	16154	Yes
1875.5	17820	Yes
1434.1	47312	Yes
1847.8	30203	Yes
1237.6	14863	Yes
1922.8	56203	Yes
1570.7	16239	Yes
1928.3	35492	Yes
 959.6	29850	No
 518.0	45495	No
 751.4	29875	No
 856.8	42663	No
 500.6	31354	No
  91.7	19154	No
1007.5	16814	No
1327.3	15819	No
1677.3	44973	No
 688.0	27604	No
1790.5	21938	No
 171.0	42749	No
1991.1	30810	No
1196.0	19666	No
 806.6	27623	No
   0.0	40348	No
1506.7	20680	No
 496.4	33783	No
 786.8	38024	No
1385.3	35045	No
 977.5	33691	No
 948.8	24095	No
 660.1	39163	No
   0.0	37500	No
 961.6	 9681	No
 594.1	24069	No
 951.1	18602	No
1013.9	34167	No
1180.0	19871	No
1127.8	43345	No
 640.4	14939	No
1376.1	63073	No
1380.7	52665	No
 811.2	42185	No
 591.5	20961	No
1183.5	16189	No
 189.7	53266	No
 271.2	25158	No
 765.0	44871	No
 567.3	39841	No
 947.5	21946	No
   0.0	22431	No
1318.6	18042	No
 757.9	37089	No
1324.0	45115	No
 112.0	40057	No
 715.5	47483	No
  36.1	37016	No
   9.5	24582	No
 252.9	23443	No
